source,summary_id,role,dim,worker_1,worker_2,val_1,val_2,abs_diff
FINAL_code_prompts_64_base,69,base_A,faith,A38COD77T1M1VZ,A2K2T23JWSB8R4,0.25,0.25,0.0
FINAL_code_prompts_64_base,69,base_A,info,A38COD77T1M1VZ,A2K2T23JWSB8R4,0.0,0.25,0.25
FINAL_code_prompts_64_base,69,base_B,faith,A38COD77T1M1VZ,A2K2T23JWSB8R4,1.0,0.25,0.75
FINAL_code_prompts_64_base,69,base_B,info,A38COD77T1M1VZ,A2K2T23JWSB8R4,0.25,0.25,0.0
FINAL_code_prompts_64_base,69,candidate,faith,A38COD77T1M1VZ,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_code_prompts_64_base,69,candidate,info,A38COD77T1M1VZ,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_code_prompts_64_base,73,base_A,faith,A1ESZG5573F331,A2K2T23JWSB8R4,1.0,0.5,0.5
FINAL_code_prompts_64_base,73,base_A,info,A1ESZG5573F331,A2K2T23JWSB8R4,0.75,0.5,0.25
FINAL_code_prompts_64_base,73,base_B,faith,A1ESZG5573F331,A2K2T23JWSB8R4,1.0,0.5,0.5
FINAL_code_prompts_64_base,73,base_B,info,A1ESZG5573F331,A2K2T23JWSB8R4,0.5,0.75,0.25
FINAL_code_prompts_64_base,73,candidate,faith,A1ESZG5573F331,A2K2T23JWSB8R4,0.0,0.25,0.25
FINAL_code_prompts_64_base,73,candidate,info,A1ESZG5573F331,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_code_prompts_64_base,78,base_A,faith,A255B1K2HJBGQI,A2QJT2I4XJ5R04,0.25,0.5,0.25
FINAL_code_prompts_64_base,78,base_A,faith,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,0.25,0.75,0.5
FINAL_code_prompts_64_base,78,base_A,faith,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,0.5,0.75,0.25
FINAL_code_prompts_64_base,78,base_A,info,A255B1K2HJBGQI,A2QJT2I4XJ5R04,0.0,0.25,0.25
FINAL_code_prompts_64_base,78,base_A,info,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,0.0,0.75,0.75
FINAL_code_prompts_64_base,78,base_A,info,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,0.25,0.75,0.5
FINAL_code_prompts_64_base,78,base_B,faith,A255B1K2HJBGQI,A2QJT2I4XJ5R04,1.0,1.0,0.0
FINAL_code_prompts_64_base,78,base_B,faith,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,1.0,0.25,0.75
FINAL_code_prompts_64_base,78,base_B,faith,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,1.0,0.25,0.75
FINAL_code_prompts_64_base,78,base_B,info,A255B1K2HJBGQI,A2QJT2I4XJ5R04,0.25,0.5,0.25
FINAL_code_prompts_64_base,78,base_B,info,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,0.25,0.0,0.25
FINAL_code_prompts_64_base,78,base_B,info,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,0.5,0.0,0.5
FINAL_code_prompts_64_base,78,candidate,faith,A255B1K2HJBGQI,A2QJT2I4XJ5R04,1.0,0.75,0.25
FINAL_code_prompts_64_base,78,candidate,faith,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,1.0,0.5,0.5
FINAL_code_prompts_64_base,78,candidate,faith,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,0.75,0.5,0.25
FINAL_code_prompts_64_base,78,candidate,info,A255B1K2HJBGQI,A2QJT2I4XJ5R04,0.25,0.25,0.0
FINAL_code_prompts_64_base,78,candidate,info,A255B1K2HJBGQI,A1DVKS3R9SLQ1H,0.25,0.5,0.25
FINAL_code_prompts_64_base,78,candidate,info,A2QJT2I4XJ5R04,A1DVKS3R9SLQ1H,0.25,0.5,0.25
FINAL_code_prompts_64_base,86,base_A,faith,A2MXMG0VILAXHN,A10ITMSISY6KI4,1.0,1.0,0.0
FINAL_code_prompts_64_base,86,base_A,faith,A2MXMG0VILAXHN,AV2FEMCB6VR9C,1.0,0.25,0.75
FINAL_code_prompts_64_base,86,base_A,faith,A10ITMSISY6KI4,AV2FEMCB6VR9C,1.0,0.25,0.75
