source,summary_id,base_A_id,candidate_id,n_workers,faith_base_A,faith_base_B,faith_candidate,info_base_A,info_base_B,info_candidate,human_faith1,human_faith2,human_info1,human_info2,human_spec_faith,human_spec_info,faith_base_A_std,faith_base_B_std,faith_candidate_std,info_base_A_std,info_base_B_std,info_candidate_std,human_faith1_std,human_faith2_std,human_info1_std,human_info2_std,human_spec_faith_std,human_spec_info_std,llm_entail_1,llm_entail_2,llm_faithfulness1,llm_faithfulness2,llm_informativeness1,llm_informativeness2,llm_specificity,llm_spec_faithfulness,llm_spec_informativeness
FINAL_code_prompts_64_base,67,3,16,1,1.0,0.75,0.5,0.75,0.75,0.5,0.875,0.75,0.75,0.75,0.75,0.625,,,,,,,,,,,,,0.52,0.36,0.73,0.72,0.565,0.35,0.26,0.815,0.58
FINAL_code_prompts_64_base,69,5,62,2,0.5,0.625,0.0,0.5,0.625,0.0,0.5625,0.5,0.5625,0.5,0.25,0.25,0.3535533905932738,0.5303300858899106,0.0,0.3535533905932738,0.5303300858899106,0.0,0.4419417382415922,0.3535533905932738,0.4419417382415922,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.035,0.02,0.505,0.15,0.25,0.08,0.035,0.07500000000000001,0.11
FINAL_code_prompts_64_base,70,6,60,1,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,0.625,0.5,1.0,0.75,,,,,,,,,,,,,0.035,0.02,0.5499999999999999,0.15,0.15,0.12,0.065,1.0,0.485
FINAL_code_prompts_64_base,72,8,12,1,1.0,0.0,0.5,0.75,0.25,0.5,0.5,0.0,0.5,0.25,0.75,0.625,,,,,,,,,,,,,0.8200000000000001,0.78,1.0,1.0,0.9,0.88,0.47500000000000003,0.5,0.46
FINAL_code_prompts_64_base,73,9,32,2,0.375,0.375,0.125,0.625,0.75,0.25,0.375,0.375,0.6875,0.625,0.25,0.4375,0.1767766952966369,0.1767766952966369,0.1767766952966369,0.1767766952966369,0.0,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.08838834764831845,0.1767766952966369,0.1767766952966369,0.2651650429449553,0.18,0.18,0.9099999999999999,0.82,0.56,0.46,0.43,0.55,0.43
FINAL_code_prompts_64_base,78,14,30,1,0.75,0.25,0.5,0.75,0.0,0.5,0.5,0.25,0.375,0.0,0.625,0.625,,,,,,,,,,,,,0.1,0.08,0.95,0.9,0.315,0.15,0.05,0.5,0.14
FINAL_code_prompts_64_base,86,28,46,1,1.0,0.0,0.25,1.0,0.25,0.5,0.5,0.0,0.625,0.25,0.625,0.75,,,,,,,,,,,,,0.1,0.05,0.54,0.08,0.44999999999999996,0.08,0.19999999999999998,1.0,0.505
FINAL_code_prompts_64_base,87,34,59,1,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.875,0.75,0.75,0.75,,,,,,,,,,,,,0.14,0.12,1.0,1.0,0.46499999999999997,0.35,0.05,0.525,0.415
FINAL_code_prompts_64_base,90,42,23,1,1.0,1.0,0.5,0.75,0.75,0.25,1.0,1.0,0.75,0.75,0.75,0.5,,,,,,,,,,,,,0.33,0.32,0.855,0.85,0.63,0.48,0.18000000000000002,0.6,0.4
FINAL_code_prompts_64_base,93,46,7,1,1.0,0.75,1.0,1.0,0.75,0.75,0.875,0.75,0.875,0.75,1.0,0.875,,,,,,,,,,,,,0.18,0.18,1.0,1.0,0.775,0.67,0.06999999999999999,0.56,0.8200000000000001
FINAL_random_prompts_64_base,68,4,35,1,0.0,0.25,0.75,0.25,0.25,0.25,0.125,0.0,0.25,0.25,0.375,0.25,,,,,,,,,,,,,0.16999999999999998,0.12,1.0,1.0,0.365,0.28,0.22,1.0,0.5800000000000001
FINAL_random_prompts_64_base,71,7,57,1,0.5,1.0,0.25,0.5,1.0,0.25,0.75,0.5,0.75,0.5,0.375,0.375,,,,,,,,,,,,,0.625,0.33,0.79,0.58,0.71,0.52,0.22,0.21,0.235
FINAL_random_prompts_64_base,76,13,34,1,0.75,0.5,0.25,1.0,0.25,0.5,0.625,0.5,0.625,0.25,0.5,0.75,,,,,,,,,,,,,0.15,0.08,0.575,0.15,0.23,0.18,0.19,0.15000000000000002,0.11
FINAL_random_prompts_64_base,81,23,17,1,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.75,0.75,,,,,,,,,,,,,0.035,0.02,0.5,0.0,0.125,0.05,0.04,0.525,0.16
FINAL_random_prompts_64_base,83,25,49,1,0.5,0.0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,0.0,0.5,0.5,,,,,,,,,,,,,0.43,0.08,0.575,0.15,0.315,0.18,0.20500000000000002,0.525,0.465
FINAL_random_prompts_64_base,84,27,13,1,0.5,0.75,0.75,0.75,0.5,0.75,0.625,0.5,0.625,0.5,0.625,0.75,,,,,,,,,,,,,0.48000000000000004,0.03,1.0,1.0,0.16499999999999998,0.15,0.13,0.5,0.385
FINAL_random_prompts_64_base,85,28,19,1,1.0,1.0,0.25,0.25,0.25,0.0,1.0,1.0,0.25,0.25,0.625,0.125,,,,,,,,,,,,,0.12,0.12,1.0,1.0,0.25,0.15,0.035,0.15,0.09999999999999999
FINAL_random_prompts_64_base,87,30,6,1,0.5,1.0,0.75,0.5,1.0,0.75,0.75,0.5,0.75,0.5,0.625,0.625,,,,,,,,,,,,,0.67,0.42,0.9,0.8,0.39,0.2,0.2,0.575,0.38
FINAL_random_prompts_64_base,88,31,19,1,0.75,0.75,0.75,0.25,0.75,0.5,0.75,0.75,0.5,0.25,0.75,0.375,,,,,,,,,,,,,0.11499999999999999,0.05,1.0,1.0,0.16999999999999998,0.12,0.05,0.6,0.19
FINAL_random_prompts_64_base,95,48,19,1,0.25,0.75,1.0,0.5,0.25,1.0,0.5,0.25,0.375,0.25,0.625,0.75,,,,,,,,,,,,,0.53,0.18,0.85,0.7,0.42500000000000004,0.4,0.12,0.5,0.4
FINAL_story_prompts_64_base,65,1,35,1,0.0,0.75,0.0,0.5,1.0,0.0,0.375,0.0,0.75,0.5,0.0,0.25,,,,,,,,,,,,,0.5700000000000001,0.52,0.78,0.78,0.8,0.78,0.32,0.37,0.43
FINAL_story_prompts_64_base,66,3,17,1,0.75,0.5,0.75,0.5,0.5,0.75,0.625,0.5,0.5,0.5,0.75,0.625,,,,,,,,,,,,,0.915,0.9,0.96,0.92,0.935,0.92,0.62,0.58,0.67
FINAL_story_prompts_64_base,67,4,17,2,0.375,0.625,0.5,0.5,0.625,0.625,0.5,0.25,0.5625,0.375,0.4375,0.5625,0.5303300858899106,0.1767766952966369,0.0,0.3535533905932738,0.1767766952966369,0.1767766952966369,0.1767766952966369,0.3535533905932738,0.08838834764831845,0.1767766952966369,0.2651650429449553,0.2651650429449553,0.13,0.08,0.395,0.05,0.44999999999999996,0.18,0.095,0.47,0.44999999999999996
